Driver_name,laptime_sec_mc1,laptime_pct_alien_mc1,laptime_sec_mc2,laptime_pct_alien_mc2,laptime_sec_mc3,laptime_pct_alien_mc3,laptime_sec_mc4,laptime_pct_alien_mc4,pace_diff
Dakota Botello,105.10300000000001,101.9,239.911,101.96,94.708,101.13,100.689,101.7,0.20000000000000284
Dave Harris,106.473,103.23,,,96.96600000000001,103.54,102.106,103.13,0.10000000000000853
Dave Paccagnini,106.426,103.19,242.619,103.11,96.696,103.25,101.32900000000001,102.34,0.8499999999999943
Donnie Greathouse,107.51599999999999,104.24,247.86,105.33,97.96000000000001,104.6,101.916,102.94,1.2999999999999972
Dustin Rand,107.679,104.4,244.326,103.83,97.715,104.34,101.962,102.98,1.4200000000000017
Gage Galvin,108.431,105.13,,,,,102.457,103.48,1.6499999999999915
Grayson Head,107.47999999999999,104.21,241.399,102.59,96.816,103.38,100.346,101.35,2.8599999999999994
Guillermo Paret,105.572,102.36,240.502,102.21,94.78399999999999,101.21,100.029,101.03,1.3299999999999983
Harrison Miller,106.57300000000001,103.33,254.286,108.06,95.375,101.84,100.806,101.81,1.519999999999996
Javier Tellez,107.2,103.94,244.659,103.97,,,101.464,102.48,1.4599999999999937
Justin Fortuna,107.721,104.44,243.339,103.41,96.01400000000001,102.52,101.589,102.6,1.8400000000000034
Kasi Jackman,105.06700000000001,101.87,241.225,102.51,95.924,102.43,102.245,103.27,-1.3999999999999915
Macaronie Tout Garni,108.943,105.63,245.081,104.15,97.093,103.68,102.36,103.38,2.25
Matthew Canelli,108.648,105.34,243.239,103.37,,,101.499,102.51,2.8299999999999983
Nick Johnson,,,242.135,102.9,,,100.858,101.87,
Nitin Murthy,,,,,,,,,
R McLean,106.507,103.26,242.39,103.01,,,101.30199999999999,102.31,0.9500000000000028
Richie Wood,106.11099999999999,102.88,243.285,103.39,96.76599999999999,103.33,101.46000000000001,102.47,0.4099999999999966
Ron Heslop,107.88499999999999,104.6,,,,,101.904,102.92,1.6799999999999926
Willie Mangram,105.51599999999999,102.3,240.026,102.0,95.187,101.64,100.24799999999999,101.25,1.0499999999999972
p thomas,,,262.563,111.58,95.73599999999999,102.23,100.541,101.55,
