Driver_name,laptime_sec_mc1,laptime_pct_alien_mc1,laptime_sec_mc2,laptime_pct_alien_mc2,laptime_sec_mc3,laptime_pct_alien_mc3,laptime_sec_mc4,laptime_pct_alien_mc4,pace_diff
Abe Wozniak,94.011,102.71,210.941,101.99,85.576,103.28,88.72,101.66,1.0499999999999972
Brian Crane,95.017,103.81,212.412,102.7,,,89.834,102.94,0.8700000000000045
Chris MacLennan,96.562,105.5,214.196,103.56,86.745,104.69,89.65299999999999,102.73,2.769999999999996
Daniel Jobbins,,,,,,,,,
Donovan Bailey,93.06700000000001,101.68,208.746,100.93,83.523,100.8,88.003,100.84,0.8400000000000034
Greg Kach,93.054,101.67,208.591,100.85,83.813,101.15,88.145,101.0,0.6700000000000017
Hans Montes,94.295,103.02,213.428,103.19,85.324,102.97,88.845,101.8,1.2199999999999989
James Rubio,94.57900000000001,103.33,212.082,102.54,84.967,102.54,88.42,101.32,2.010000000000005
Joris Butkus,,,,,83.39,100.64,,,
Michael Landry,93.011,101.62,208.598,100.85,83.634,100.93,,,
Michael Quandt,93.92,102.61,,,,,88.875,101.84,0.769999999999996
Nathan Sides,93.959,102.65,,,84.764,102.3,88.928,101.9,0.75
Ryan Bellune,94.45400000000001,103.19,211.081,102.06,85.806,103.56,,,
